Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,89936.0,70933.0,61322.0,59.95733333333334,47.28866666666667,40.88133333333334
Upper2,89483.0,72315.0,63090.0,59.655333333333324,48.209999999999994,42.06
Upper3,89783.0,73317.0,65342.0,59.85533333333334,48.878,43.56133333333334
Upper4,89414.0,74969.0,67556.0,59.60933333333334,49.97933333333334,45.037333333333336
Upper5,90036.0,77646.0,71047.0,60.024,51.763999999999996,47.364666666666665
Upper6,89981.0,83134.0,76558.0,59.98733333333334,55.422666666666665,51.038666666666664
OfAKind2,136174.0,148784.0,149885.0,90.78266666666667,99.18933333333332,99.92333333333333
OfAKind3,31647.0,81048.0,111281.0,21.098,54.03199999999999,74.18733333333333
OfAKind4,3004.0,19631.0,43247.0,2.002666666666667,13.087333333333333,28.83133333333333
OfAKind5,118.0,1898.0,6860.0,0.07866666666666666,1.2653333333333332,4.573333333333333
TwoPairs,40424.0,46325.0,33812.0,26.949333333333332,30.883333333333336,22.541333333333334
SmallStraight,2302.0,45.0,1.0,1.5346666666666666,0.03,0.0006666666666666666
LargeStraight,2315.0,242.0,20.0,1.5433333333333334,0.16133333333333333,0.013333333333333334
FullHouse,5692.0,14150.0,14832.0,3.794666666666667,9.433333333333334,9.888000000000002
Chance,150000.0,150000.0,150000.0,100.0,100.0,100.0
AverageScore,163.136,,,,,
Std,38.44289666505374,,,,,
Bonus%,12.740000000000002,,,,,
