Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,8971776559.0,7086742563.0,6113540074.0,59.811843726666666,47.244950419999995,40.75693382666667
Upper2,8971854630.0,7220731429.0,6305872645.0,59.812364200000005,48.138209526666664,42.03915096666667
Upper3,8971850731.0,7354827305.0,6520681861.0,59.812338206666674,49.032182033333335,43.471212406666666
Upper4,8971839364.0,7488590506.0,6757509815.0,59.81226242666666,49.923936706666666,45.05006543333333
Upper5,8971812663.0,7734236458.0,7072787060.0,59.81208442,51.561576386666665,47.15191373333333
Upper6,8971836956.0,8314749950.0,7653767761.0,59.81224637333333,55.43166633333333,51.02511840666667
OfAKind2,13611098686.0,14871406780.0,14988095352.0,90.74065790666667,99.14271186666667,99.92063568
OfAKind3,3194458150.0,8119870844.0,11147955551.0,21.296387666666668,54.132472293333336,74.31970367333334
OfAKind4,300958068.0,1984493797.0,4361939945.0,2.00638712,13.229958646666667,29.07959963333333
OfAKind5,11576684.0,189451403.0,690391816.0,0.07717789333333333,1.2630093533333333,4.602612106666667
TwoPairs,4050937509.0,4634898965.0,3387458120.0,27.00625006,30.899326433333336,22.583054133333334
SmallStraight,231467387.0,4288123.0,79228.0,1.5431159133333334,0.02858748666666667,0.0005281866666666667
LargeStraight,231473914.0,25711314.0,2380279.0,1.5431594266666666,0.17140876,0.015868526666666667
FullHouse,578690822.0,1419936159.0,1482271143.0,3.857938813333334,9.46624106,9.88180762
Chance,15000000000.0,15000000000.0,15000000000.0,100.0,100.0,100.0
AverageScore,163.859585839,,,,,
Std,38.59821937486741,,,,,
Bonus%,13.102256200000001,,,,,
