Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,896256.0,707488.0,611172.0,59.750400000000006,47.165866666666666,40.7448
Upper2,895759.0,722265.0,630372.0,59.71726666666667,48.150999999999996,42.0248
Upper3,896550.0,735170.0,651606.0,59.77,49.01133333333333,43.440400000000004
Upper4,897315.0,749626.0,676015.0,59.821000000000005,49.97506666666667,45.06766666666667
Upper5,898341.0,773578.0,708256.0,59.8894,51.571866666666665,47.21706666666667
Upper6,896942.0,831160.0,764922.0,59.79613333333334,55.410666666666664,50.9948
OfAKind2,1361395.0,1487078.0,1498752.0,90.75966666666667,99.13853333333333,99.9168
OfAKind3,319846.0,812779.0,1115348.0,21.32306666666667,54.185266666666664,74.35653333333333
OfAKind4,30045.0,199411.0,436808.0,2.003,13.294066666666668,29.12053333333333
OfAKind5,1099.0,18948.0,68748.0,0.07326666666666666,1.2632,4.5832
TwoPairs,406452.0,462497.0,338001.0,27.096799999999998,30.833133333333336,22.5334
SmallStraight,23050.0,434.0,5.0,1.5366666666666666,0.028933333333333335,0.0003333333333333333
LargeStraight,23013.0,2563.0,247.0,1.5342,0.17086666666666667,0.016466666666666668
FullHouse,58064.0,141386.0,147891.0,3.8709333333333333,9.425733333333334,9.8594
Chance,1500000.0,1500000.0,1500000.0,100.0,100.0,100.0
AverageScore,163.99081,,,,,
Std,38.52377792408086,,,,,
Bonus%,13.276,,,,,
