Category,Roll0_count,Roll1_count,Roll2_count,Roll0_%,Roll1_%,Roll2_%
Upper1,897176413.0,708668988.0,611373794.0,59.81176086666666,47.244599199999996,40.75825293333333
Upper2,897180718.0,722094475.0,630580554.0,59.81204786666666,48.139631666666666,42.0387036
Upper3,897157223.0,735448301.0,652027227.0,59.81048153333334,49.029886733333335,43.4684818
Upper4,897174412.0,748814272.0,675747570.0,59.811627466666664,49.92095146666667,45.049837999999994
Upper5,897206158.0,773449118.0,707285791.0,59.81374386666667,51.563274533333335,47.152386066666665
Upper6,897165158.0,831489592.0,765376328.0,59.81101053333333,55.432639466666664,51.02508853333333
OfAKind2,1361117426.0,1487136610.0,1498809510.0,90.74116173333333,99.14244066666666,99.92063399999999
OfAKind3,319434165.0,811991107.0,1114822686.0,21.295611,54.13274046666666,74.3215124
OfAKind4,30092758.0,198461938.0,436210796.0,2.006183866666667,13.230795866666668,29.080719733333332
OfAKind5,1157602.0,18949613.0,69044708.0,0.07717346666666666,1.2633075333333335,4.602980533333334
TwoPairs,405137967.0,463495986.0,338721036.0,27.009197800000003,30.8997324,22.5814024
SmallStraight,23153330.0,429017.0,7967.0,1.5435553333333332,0.028601133333333334,0.0005311333333333334
LargeStraight,23148265.0,2572855.0,238622.0,1.5432176666666666,0.17152366666666669,0.015908133333333335
FullHouse,57883953.0,141990026.0,148222405.0,3.8589302,9.466001733333334,9.881493666666668
Chance,1500000000.0,1500000000.0,1500000000.0,100.0,100.0,100.0
AverageScore,163.85989244,,,,,
Std,38.594314104951074,,,,,
Bonus%,13.102515,,,,,
